Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
MOISES,tvui,editProfileAvatar,,,2021-09-18 14:29:14
MOISES,tvui,editProfile,,,2021-09-18 14:29:14
MOISES,tvui,editProfile,,,2021-09-18 14:27:48
MOISES,tvui,editProfileAvatar,,,2021-09-18 14:27:48
MOISES,tvui,editProfileAvatar,,,2021-09-18 14:27:44
MOISES,tvui,editProfile,,,2021-09-18 14:27:44
MOISES,tvui,editProfile,,,2021-09-18 14:27:02
MOISES,tvui,editProfileAvatar,,,2021-09-18 14:27:02
MOISES,tvui,profilesGate,,,2021-09-18 14:26:56
MOISES,tvui,editProfile,,,2021-09-18 14:26:56
MOISES,tvui,profilesGate,,,2021-09-18 14:26:50
MOISES,tvui,profilesGate,,,2021-09-18 14:26:36
MOISES,android,profilesGate,,,2021-09-16 20:24:35
MOISES,android,browseTitles,,,2021-09-16 20:24:35
MOISES,tvui,profilesGate,,,2021-09-15 20:43:45
MOISES,tvui,playback,,,2021-09-15 00:37:05
MOISES,tvui,postPlay,,,2021-09-15 00:37:05
MOISES,tvui,postPlay,,,2021-09-15 00:36:59
MOISES,tvui,playback,,,2021-09-15 00:36:59
MOISES,tvui,postPlay,,,2021-09-14 23:54:32
MOISES,tvui,playback,,,2021-09-14 23:54:32
MOISES,tvui,postPlay,,,2021-09-14 23:54:26
MOISES,tvui,playback,,,2021-09-14 23:54:26
MOISES,tvui,postPlay,,,2021-09-14 23:11:59
MOISES,tvui,playback,,,2021-09-14 23:11:59
MOISES,tvui,playback,,,2021-09-14 23:11:54
MOISES,tvui,postPlay,,,2021-09-14 23:11:54
MOISES,tvui,movieDetails,,,2021-09-14 22:46:18
MOISES,tvui,playback,,,2021-09-14 22:46:18
MOISES,tvui,browseTitles,,,2021-09-14 22:46:17
MOISES,tvui,movieDetails,,,2021-09-14 22:46:17
MOISES,tvui,browseTitles,,,2021-09-14 22:46:12
MOISES,tvui,profilesGate,,,2021-09-14 22:46:12
MOISES,tvui,profilesGate,,,2021-09-14 22:46:09
MOISES,tvui,playback,,,2021-09-12 21:12:31
MOISES,tvui,postPlay,,,2021-09-12 21:12:31
MOISES,tvui,playback,,,2021-09-12 21:12:26
MOISES,tvui,postPlay,,,2021-09-12 21:12:26
MOISES,tvui,playback,,,2021-09-12 21:10:08
MOISES,tvui,movieDetails,,,2021-09-12 21:10:08
MOISES,tvui,browseTitles,,,2021-09-12 21:09:53
MOISES,tvui,movieDetails,,,2021-09-12 21:09:53
MOISES,tvui,browseTitles,,,2021-09-12 21:09:35
MOISES,tvui,profilesGate,,,2021-09-12 21:09:35
MOISES,tvui,playback,,,2021-09-12 19:51:29
MOISES,tvui,movieDetails,,,2021-09-12 19:51:29
MOISES,tvui,movieDetails,,,2021-09-12 19:51:28
MOISES,tvui,browseTitles,,,2021-09-12 19:51:28
MOISES,tvui,browseTitles,,,2021-09-12 19:51:18
MOISES,tvui,profilesGate,,,2021-09-12 19:51:18
MOISES,tvui,profilesGate,,,2021-09-12 19:51:16
MOISES,tvui,playback,,,2021-09-12 19:36:46
MOISES,tvui,movieDetails,,,2021-09-12 19:36:46
MOISES,tvui,browseTitles,,,2021-09-12 19:36:36
MOISES,tvui,movieDetails,,,2021-09-12 19:36:36
MOISES,tvui,profilesGate,,,2021-09-12 19:36:06
MOISES,tvui,browseTitles,,,2021-09-12 19:36:06
MOISES,tvui,playback,,,2021-09-12 18:32:19
MOISES,tvui,episodesSelector,,,2021-09-12 18:32:19
MOISES,tvui,episodesSelector,,,2021-09-12 18:25:04
MOISES,tvui,movieDetails,,,2021-09-12 18:25:04
MOISES,tvui,playback,,,2021-09-12 18:25:01
MOISES,tvui,movieDetails,,,2021-09-12 18:25:01
MOISES,tvui,postPlay,,,2021-09-12 18:24:51
MOISES,tvui,playback,,,2021-09-12 18:24:51
MOISES,tvui,playback,,,2021-09-12 18:24:46
MOISES,tvui,postPlay,,,2021-09-12 18:24:46
MOISES,tvui,profilesGate,,,2021-09-12 18:02:18
MOISES,tvui,playback,,,2021-09-12 17:42:16
MOISES,tvui,postPlay,,,2021-09-12 17:42:16
