Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Victor,NFANDROID1-PRV-P-L3-MOTORMOTOROLA=ONE=ACTION-4445-06D9CC3038723571B1A51EA181C7E78AB0FDC7294D582C5DDCE48E9443D998D06,Android DefaultWidevineL3Phone Android Phone,2020-01-13T02:13:19.419Z,2020-01-13T22:35:57.277Z,2020-01-13T02:13:19.419Z,2020-01-13T22:35:57.277Z,2020-01-13T02:13:19.419Z,2020-01-13T22:35:57.277Z,2020-01-13T02:13:19.419Z,2020-01-13T22:35:57.277Z,
Marcio,SSTV-NVT5-0000000000000018934831,Samsung 2015 NT14M DTV Smart TV,2018-01-18T22:45:28.670Z,2020-01-07T02:59:30.488Z,2019-07-14T01:53:14.352Z,2020-01-07T02:12:23.868Z,2019-07-13T20:40:02.672Z,2020-01-07T02:59:30.488Z,2019-07-14T01:53:14.352Z,2020-01-07T02:12:23.868Z,
Victor,NFCDCH-LX-G0LT0TQ29NVW213EFT9E7MA9K454XM,Netflix Chrome Linux (Cadmium) HTML 5,2019-12-30T11:50:13.493Z,2019-12-30T11:51:13.701Z,2019-12-30T11:50:44.606Z,2019-12-30T11:51:05.906Z,2019-12-30T11:50:13.493Z,2019-12-30T11:51:13.701Z,2019-12-30T11:50:44.606Z,2019-12-30T11:51:05.906Z,
Kids,SSTV-NVT5-0000000000000018934831,Samsung 2015 NT14M DTV Smart TV,2018-01-18T22:45:28.670Z,2020-01-07T02:59:30.488Z,2019-07-14T01:53:14.352Z,2020-01-07T02:12:23.868Z,2018-01-18T22:45:28.670Z,2019-12-28T18:50:22.048Z,2019-12-21T12:58:02.877Z,2019-12-28T18:26:39.151Z,
Marcio,KNKODM4K5000000000000000000000000000145011,MStar PureTurnkey50 Konka ODM4K Smart TV,2019-12-24T16:38:50.124Z,2020-02-07T21:02:00.164Z,2019-12-24T16:38:50.124Z,2020-02-02T18:45:11.412Z,2019-12-24T16:38:50.124Z,2019-12-24T18:52:26.641Z,2019-12-24T16:38:50.124Z,2019-12-24T18:52:26.641Z,
Victor,NFANDROID1-PRV-P-L3-SAMSUSM-G930F-4445-0A761AC99801CBE844372624A79AAF4BEAE7BFD548808334246A4BF0CDCD157E4,Android DefaultWidevineL3Phone Android Phone,2019-03-28T16:47:05.920Z,2019-12-23T01:39:45.854Z,2019-03-28T16:47:05.920Z,2019-12-23T01:39:45.854Z,2019-03-28T16:47:05.920Z,2019-12-23T01:39:45.854Z,2019-03-28T16:47:05.920Z,2019-12-23T01:39:45.854Z,
Marcio,SSTV-MSL1-0000000000000001082293,Samsung CE 2019 Muse-L UHD TV Smart TV,2019-06-29T11:13:54.101Z,2021-09-18T01:41:59.887Z,2019-07-04T18:17:42.550Z,2021-09-18T01:41:59.887Z,2019-12-16T23:08:35.493Z,2019-12-16T23:08:35.493Z,2019-12-16T23:08:35.493Z,2019-12-16T23:08:35.493Z,
MOISES,NFANDROID1-PRV-P-SAMSUSM-A505GT-7176-0A377187B20AD3EF1F9CB33977393CF60C0234B0A96E81E9EEDD329FF6328E20F,DefaultWidevineAndroidPhone,2019-11-06T23:42:02.704Z,2019-11-19T20:52:44.377Z,2019-11-06T23:42:02.704Z,2019-11-19T20:52:44.377Z,2019-11-06T23:42:02.704Z,2019-11-19T20:52:44.377Z,2019-11-06T23:42:02.704Z,2019-11-19T20:52:44.377Z,
MOISES,LGTV20165=51001557066,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,2019-01-02T16:17:30.170Z,2021-07-08T01:10:28.230Z,2019-09-30T01:12:53.053Z,2021-07-08T01:10:28.230Z,2019-06-06T00:01:15.505Z,2019-06-06T00:01:15.505Z,,,
Rafael,NFANDROID1-PRV-P-L3-SAMSUSM-J810M-4445-03BE14D59707135BD0AD9EC1DF90FF8C53E63465B9EBD024B78A5B35612F3FA1F,Android DefaultWidevineL3Phone Android Phone,2019-04-02T01:13:07.232Z,2019-04-02T01:13:07.232Z,2019-04-02T01:13:07.232Z,2019-04-02T01:13:07.232Z,2019-04-02T01:13:07.232Z,2019-04-02T01:13:07.232Z,2019-04-02T01:13:07.232Z,2019-04-02T01:13:07.232Z,
