Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Rafael,SSTV-MSL1-0000000000000001082293,Samsung CE 2019 Muse-L UHD TV Smart TV,2019-06-29T11:13:54.101Z,2021-09-18T01:41:59.887Z,2019-07-04T18:17:42.550Z,2021-09-18T01:41:59.887Z,2019-06-29T11:13:54.101Z,2021-09-18T01:41:59.887Z,2019-07-04T18:17:42.550Z,2021-09-18T01:41:59.887Z,
Rafael,SSTV-X121-130218-0010284147-0965,Samsung 2013 MStar X12 Smart TV,2018-09-06T17:08:50.593Z,2021-09-14T23:06:59.323Z,2018-09-06T17:08:50.593Z,2021-09-14T23:06:59.323Z,2019-09-25T02:19:22.731Z,2021-09-14T23:06:59.323Z,2019-09-25T02:19:22.731Z,2021-09-14T23:06:59.323Z,
MOISES,NFANDROID1-PRV-P-SAMSUSM-G975F-7176-03B23D1A239A3AD0F95183D4C1C0A5622C880D774DB40010FADA161A86F70C566,DefaultWidevineAndroidPhone,2020-09-07T15:55:28.932Z,2021-06-28T00:22:12.189Z,2020-09-07T15:55:28.932Z,2021-06-28T00:22:12.189Z,,,,,
MOISES,NFANDROID1-PRV-T-L3-ROCKCTV=BOX-4445-07D713C23BED7C162B0976EB5DA83CF239E8182B64CBC807E2CB5A1E5A1A930B0,Android DefaultWidevineL3Tablet Android Tablet,,,,,,,,,
MOISES,NFANDROID1-PRV-P-MOTORMOTOROLA=ONE=FUSION-13234-0639D9619785E1FFAB11015E83D8A05C01E866C3292F9476B7B5C25FBB5291D2D,DefaultWidevineAndroidPhone,2021-03-28T22:24:30.594Z,2021-09-11T16:46:56.646Z,2021-03-28T22:24:30.594Z,2021-09-11T16:46:56.646Z,2021-03-28T22:24:30.594Z,2021-09-11T16:46:56.646Z,2021-03-28T22:24:30.594Z,2021-09-11T16:46:56.646Z,
MOISES,NFCDCH-02-HLAR38VW7K6GMP97JKRFMKXCPV4AR0,Chrome PC (Cadmium),2021-09-06T00:28:30.218Z,2021-09-06T00:36:25.620Z,2021-09-06T00:36:25.620Z,2021-09-06T00:36:25.620Z,2021-09-06T00:28:30.218Z,2021-09-06T00:36:25.620Z,2021-09-06T00:36:25.620Z,2021-09-06T00:36:25.620Z,
MOISES,NFCDCH-02-HKYUWM431UTMGGCU1MR2VVM5MX32AM,Chrome PC (Cadmium),2021-09-01T12:03:30.637Z,2021-09-02T17:36:03.297Z,2021-09-01T12:07:16.538Z,2021-09-02T17:02:43.630Z,2021-09-01T12:03:30.637Z,2021-09-02T17:36:03.297Z,2021-09-01T12:07:16.538Z,2021-09-02T17:02:43.630Z,
Victor,NFANDROID1-PRV-P-L3-SAMSUSM-G930F-4445-08AEA50426F99F33861D4E8664AADD8EF712E2C322C65B644094D986C77B87FA9,Android DefaultWidevineL3Phone Android Phone,2020-11-04T00:33:39.048Z,2021-08-20T17:25:48.858Z,2020-11-04T00:33:39.048Z,2021-08-20T17:25:48.858Z,2020-11-04T00:33:39.048Z,2021-08-20T17:25:48.858Z,2020-11-04T00:33:39.048Z,2021-08-20T17:25:48.858Z,
Kids,SSTV-HKM1-0000000000000003383337,Samsung 2015 Hawk-M Smart TV,2019-05-12T15:47:36.468Z,2021-09-20T01:58:38.802Z,2019-07-10T22:04:10.449Z,2021-09-20T01:58:38.802Z,,,,,
Marcio,NFANDROID1-B-REALTSMART=TV001S-D4A09812BA6356DFBFB1FD622F80CD7A18E2D2C6A13DE8DA4DFAA9E0037C2B33,Netflix AndroidLegacySTB Android,2021-01-28T15:43:26.130Z,2021-07-17T01:39:17.514Z,2021-01-28T15:43:26.130Z,2021-07-17T01:39:17.514Z,2021-01-28T15:43:26.130Z,2021-07-17T01:39:17.514Z,2021-01-28T15:43:26.130Z,2021-07-17T01:39:17.514Z,
