Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Rafael,BR,Smart TV,0,lesbica,a jovem rainha,view_video_info,suggestion_title_results,2017-09-08 17:15:05
Rafael,BR,Smart TV,0,lesbica,lesbica,view_suggestion_info,suggestion_results,2017-09-08 17:15:00
Rafael,BR,Smart TV,0,lesbica,laerte-se,play,video_info,2017-09-08 17:08:15
Rafael,BR,Smart TV,0,lesbica,laerte-se,view_video_info,suggestion_title_results,2017-09-08 17:07:54
Rafael,BR,Smart TV,0,lesbica,lesbica,view_suggestion_info,suggestion_results,2017-09-08 17:07:50
Rafael,BR,Smart TV,0,lesbica,elena undone,view_video_info,suggestion_title_results,2017-08-04 01:16:34
Rafael,BR,Smart TV,0,lesbica,ashley,view_video_info,suggestion_title_results,2017-08-04 01:16:24
Rafael,BR,Smart TV,0,lesbica,a jovem rainha,view_video_info,suggestion_title_results,2017-08-04 01:16:18
Rafael,BR,Smart TV,0,lesbica,margarita com canudinho,view_video_info,suggestion_title_results,2017-08-04 01:16:02
Rafael,BR,Smart TV,0,lesbica,filmes sobre l&#233;sbicas,view_suggestion_info,suggestion_results,2017-08-04 01:15:56
Rafael,BR,Smart TV,0,lesbica,the girl king,view_video_info,person_title_results,2017-08-04 01:15:06
Rafael,BR,Smart TV,0,lesbica,laerte-se,view_video_info,person_title_results,2017-08-04 01:14:47
Rafael,BR,Smart TV,0,co,the invisible guest,view_video_info,person_title_results,2017-08-01 13:12:46
Rafael,BR,Smart TV,0,co,coraline e o mundo secreto,view_video_info,title_results,2017-08-01 13:12:43
Rafael,BR,Smart TV,0,marata,&#193;udio em marata,view_suggestion_info,suggestion_results,2017-07-25 19:45:26
Rafael,BR,Smart TV,0,marata,the barkley marathons: the race that eats its young,play,video_info,2017-07-25 19:28:34
Rafael,BR,Smart TV,0,marata,the barkley marathons: the race that eats its young,view_video_info,person_title_results,2017-07-25 19:28:24
Rafael,BR,Smart TV,0,marata,&#193;udio em marata,view_suggestion_info,suggestion_results,2017-07-25 19:28:19
Rafael,BR,Smart TV,0,marata,the barkley marathons: the race that eats its young,view_video_info,person_title_results,2017-07-25 19:28:09
Rafael,BR,Smart TV,0,mara,the barkley marathons: the race that eats its young,play,video_info,2017-07-24 19:20:36
Rafael,BR,Smart TV,0,mara,the barkley marathons: the race that eats its young,view_video_info,suggestion_title_results,2017-07-24 19:20:34
Rafael,BR,Smart TV,0,mara,from fat to finish line,view_video_info,suggestion_title_results,2017-07-24 19:20:31
Rafael,BR,Smart TV,0,mara,the barkley marathons: the race that eats its young,play,video_info,2017-07-24 19:17:51
Rafael,BR,Smart TV,0,mara,the barkley marathons: the race that eats its young,view_video_info,suggestion_title_results,2017-07-24 19:17:48
Rafael,BR,Smart TV,0,mara,marathon man,view_suggestion_info,suggestion_results,2017-07-24 19:17:05
Rafael,BR,Smart TV,0,gustt,gusttavo lima e voc&#234;: ao vivo,view_suggestion_info,suggestion_results,2017-07-22 17:18:06
Rafael,BR,Smart TV,0,m,masha e o urso,view_video_info,title_results,2017-07-22 17:17:36
Rafael,BR,Smart TV,0,a,hacksaw ridge,play,video_info,2017-07-18 00:28:37
Rafael,BR,Smart TV,0,a,até o último homem,view_video_info,title_results,2017-07-18 00:28:29
Rafael,BR,Smart TV,0,a,até o último homem,view_video_info,title_results,2017-07-18 00:28:29
Rafael,BR,Smart TV,0,pa,"pablo escobar, el patrón del mal",view_video_info,title_results,2017-07-18 00:26:05
Rafael,BR,Smart TV,0,lesbi,kissing jessica stein,play,video_info,2017-07-16 01:47:49
Rafael,BR,Smart TV,0,lesbi,kissing jessica stein,play,video_info,2017-07-16 01:47:31
Rafael,BR,Smart TV,0,lesbi,kissing jessica stein,play,video_info,2017-07-16 01:47:31
Rafael,BR,Smart TV,0,lesbi,kissing jessica stein,play,video_info,2017-07-16 01:46:58
Rafael,BR,Smart TV,0,lesbi,kissing jessica stein,play,video_info,2017-07-16 01:46:58
Rafael,BR,Smart TV,0,lesbi,kissing jessica stein,view_video_info,suggestion_title_results,2017-07-16 01:46:55
Rafael,BR,Smart TV,0,lesbi,a jovem rainha,view_video_info,suggestion_title_results,2017-07-16 01:46:24
Rafael,BR,Smart TV,0,lesbi,,view_suggestion_info,suggestion_results,2017-07-16 01:46:21
Rafael,BR,Smart TV,0,lesbi,kissing jessica stein,view_video_info,suggestion_title_results,2017-07-16 01:45:59
Rafael,BR,Smart TV,0,lesbi,,view_suggestion_info,suggestion_results,2017-07-16 01:45:57
Rafael,BR,Smart TV,0,v,furious 7,play,video_info,2017-07-01 18:25:38
Rafael,BR,Smart TV,0,v,furious 7,view_video_info,person_title_results,2017-07-01 18:25:29
Rafael,BR,Smart TV,0,dr,como treinar o seu dragão,view_video_info,title_results,2017-06-24 13:52:19
Rafael,BR,Smart TV,0,dr,como treinar o seu dragão,view_video_info,title_results,2017-06-24 13:52:19
